,0
0,8.568973328607994
1,8.317295554235693
2,8.071084684724978
3,7.830199096906153
4,7.5944886976958585
5,7.363796034988085
6,7.137957577757713
7,6.9168051470803205
8,6.700167468080884
9,6.48787180427077
10,6.279745630591637
11,6.075618299560573
12,5.8753226558914085
13,5.67869655833369
14,5.4855842726335835
15,5.295837705948086
16,5.109317460185496
17,4.925893689250019
18,4.745446752579744
19,4.567867664500122
20,4.393058345418995
21,4.220931686586441
22,4.051411444812823
23,3.8844319870009607
24,3.7199379064769915
25,3.557883533802093
26,3.3982323640098167
27,3.2409564200556096
28,3.0860355687709307
29,2.9334568009111903
30,2.7832134810833464
31,2.635304566556875
32,2.48973378630805
33,2.3465087631467254
34,2.2056400524810753
35,2.067140061197704
36,1.9310217992832068
37,1.797297405344813
38,1.665976375469685
39,1.53706341354433
40,1.4105558116277475
41,1.2864402635260805
42,1.16468901718154
43,1.0452552875363275
44,0.9280678899909127
45,0.8130251269595405
46,0.6999880814594619
47,0.5887736582894683
48,0.47914797826584204
49,0.3708210739245878
50,0.26344422663619865
