Title,Index,Temp(C),Plg,volPlg,Olv,volOlv,Opx,volOpx,Cpx,volCpx,Hbl,volHbl,Amp,volAmp,Fe-Ti,volFe-Ti,rhm-Oxide,(vol%),Quartz(0:out/1:in),Biotite(0:out/1:in),Corundum(0:out/1:in),Water(0:out/1:in),Pressure,H2O
26,7,1064,76,23.4,73,2,0,0,73,13.8,0,0,0,0,0.175,3.2,0,0,0,0,0,0,500,2
26,8,1054,73,27.5,72,2.3,0,0,73,15.8,0,0,0,0,0.18,3.8,0,0,0,0,0,0,500,2
26,9,1044,71,31.2,71,2.6,0,0,73,17.4,0,0,0,0,0.185,4.1,0,0,0,0,0,0,500,2
26,10,1034,68,34.7,70,2.8,0,0,73,18.7,0,0,0,0,0.19,4.4,0,0,0,0,0,0,500,2
26,11,1024,66,37.7,69,2.9,0,0,73,19.8,0,0,0,0,0.194,4.6,0,0,0,0,0,0,500,2
26,12,1014,64,40.7,68,2.2,73,1.3,73,20.5,0,0,0,0,0.197,4.8,0,0,0,0,0,0,500,2
26,13,1004,62,43.3,67,1.5,72,2.8,72,21,0,0,0,0,0.199,4.9,0,0,0,0,0,0,500,2
26,14,994,61,45.5,65,1.1,72,3.8,72,21.3,0,0,0,0,0.202,5,0,0,0,0,0,0,500,2
26,15,984,59,47.3,64,0.9,71,4.4,72,21.5,0,0,0,0,0.205,5,0,0,0,0,0,0,500,2
26,16,974,59,48.8,62,0.8,71,5,72,21.6,0,0,0,0,0.208,5,0,0,0,0,0,0,500,2
26,17,964,58,50.1,60,0.8,70,5.4,72,21.6,0,0,0,0,0.211,5,0,0,0,0,0,0,500,2
26,18,954,57,51.2,59,0.8,70,5.8,72,21.7,0,0,0,0,0.214,5,0,0,0,0,0,0,500,2
26,19,944,57,52.1,57,0.8,69,6.1,72,21.6,0,0,0,0,0.217,4.9,0,0,0,0,0,0,500,2
26,20,934,56,53,56,0.8,69,6.4,72,21.6,0,0,0,0,0.22,4.9,0,0,0,0,0,0,500,2
26,21,924,56,53.7,54,0.8,68,6.7,72,21.6,0,0,0,0,0.223,4.8,0,0,0,0,0,0,500,2
26,22,914,56,54.3,53,0.8,68,7,72,21.5,0,0,0,0,0.226,4.8,0,0,0,0,0,0,500,2
,,,,,,,,,,,,,,,,,,,,,,,,
27,1,1120,86,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
27,2,1110,86,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
27,3,1100,85,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
27,4,1090,84,8.1,77,0.1,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,500,2
27,5,1080,81,13.1,75,0.9,0,0,74,5.6,0,0,0,0,0.173,1.1,0,0,0,0,0,0,500,2
27,6,1070,78,17.9,74,1.5,0,0,74,9.3,0,0,0,0,0.18,2.2,0,0,0,0,0,0,500,2
27,7,1060,76,22.3,73,1.9,0,0,73,11.9,0,0,0,0,0.186,2.9,0,0,0,0,0,0,500,2
27,8,1050,73,26.2,72,2.2,0,0,73,13.9,0,0,0,0,0.192,3.4,0,0,0,0,0,0,500,2
27,9,1040,70,29.9,71,2.4,0,0,73,15.5,0,0,0,0,0.197,3.8,0,0,0,0,0,0,500,2
27,10,1030,68,33.4,70,2.1,74,0.6,73,16.8,0,0,0,0,0.201,4.1,0,0,0,0,0,0,500,2
27,11,1020,65,36.9,69,0.6,73,3.4,73,17.6,0,0,0,0,0.203,4.4,0,0,0,0,0,0,500,2
27,12,1010,63,39.8,0,0,73,4.8,72,18.1,0,0,0,0,0.205,4.6,0,0,0,0,0,0,500,2
27,13,1000,62,42.2,0,0,72,5.4,72,18.5,0,0,0,0,0.21,4.6,0,0,0,0,0,0,500,2
27,14,990,61,44.2,0,0,71,5.8,72,18.7,0,0,0,0,0.214,4.7,0,0,0,0,0,0,500,2
27,15,980,59,46,0,0,70,6.2,72,18.9,0,0,0,0,0.218,4.7,0,0,0,0,0,0,500,2
27,16,970,59,47.5,0,0,70,6.6,71,19.1,0,0,0,0,0.222,4.6,0,0,0,0,0,0,500,2
27,17,960,58,48.7,0,0,69,6.9,71,19.2,0,0,0,0,0.226,4.6,0,0,0,0,0,0,500,2
27,18,950,57,49.8,0,0,69,7.3,71,19.2,0,0,0,0,0.229,4.6,0,0,0,0,0,0,500,2
27,19,940,57,50.8,0,0,68,7.6,71,19.3,0,0,0,0,0.233,4.6,0,0,0,0,0,0,500,2
27,20,930,56,51.6,0,0,67,7.9,71,19.3,0,0,0,0,0.236,4.5,0,0,0,0,0,0,500,2
27,21,920,56,52.3,0,0,67,8.1,71,19.3,0,0,0,0,0.239,4.5,0,0,0,0,0,0,500,2
27,22,910,56,53,49,0.2,66,8.2,70,19.2,0,0,0,0,0.244,4.4,0,0,0,0,0,0,500,2
,,,,,,,,,,,,,,,,,,,,,,,,
28,1,1116,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
28,2,1106,84,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
28,3,1096,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
28,4,1086,83,7.5,76,0.2,0,0,75,0.1,0,0,0,0,0,0,0,0,0,0,0,0,500,2
28,5,1076,81,12.3,75,0.9,0,0,74,4.2,0,0,0,0,0.185,0.9,0,0,0,0,0,0,500,2
28,6,1066,78,16.9,74,1.4,0,0,73,7.6,0,0,0,0,0.191,1.9,0,0,0,0,0,0,500,2
28,7,1056,75,21.1,73,1.8,0,0,73,10.1,0,0,0,0,0.197,2.6,0,0,0,0,0,0,500,2
28,8,1046,72,24.9,72,2,0,0,73,12.1,0,0,0,0,0.203,3.1,0,0,0,0,0,0,500,2
