,0
0,0.484521103917757
1,0.4370850883944575
2,0.3958192700607301
3,0.3598365235020667
4,0.32837126311477793
5,0.30076967098674745
6,0.2764767454441547
7,0.2550228445119309
8,0.23601102630052564
