,0
0,0.8088007168205362
1,0.8079033414734279
2,0.8068891659356572
3,0.8057465904603524
4,0.8044701511867887
5,0.8030285470696987
6,0.8013850658466932
7,0.7995285419386414
8,0.7974094342414328
9,0.7949675175497898
10,0.7921559800138557
11,0.7888999447795485
12,0.7850772565243259
13,0.7805767286417528
14,0.7752031911192443
15,0.7687027873994356
16,0.760698998907669
17,0.7506843496315271
18,0.7378098206538273
19,0.7207323397600847
20,0.697128712431214
21,0.6624892251792639
22,0.6069653018360731
23,0.8097916836375598
24,0.8089098343977732
25,0.8079116839440983
26,0.8067857816140268
27,0.8055270882128949
28,0.804104162472344
29,0.8024801556596454
30,0.8006445748158616
31,0.79854780443327
32,0.7961295658159685
33,0.7933436990828929
34,0.7901157513402377
35,0.7863235329871096
36,0.7818570072514728
37,0.7765214420040081
38,0.7700639428392155
39,0.7621089423690904
40,0.752151390918957
41,0.7393441615401638
42,0.7223475968995804
43,0.698843641728279
44,0.6643274808299084
45,0.6089502470422431
46,0.8109690429506442
47,0.8101054912574498
48,0.8091262295198536
49,0.8080199830697403
50,0.8067822115150141
51,0.8053813112856465
52,0.8037802765468127
53,0.8019694042593659
54,0.7998989956217615
55,0.7975087144465892
56,0.7947531692669823
57,0.7915584105406642
58,0.787802219434377
59,0.7833759163390248
60,0.7780852997285838
61,0.7716786253175753
62,0.7637814741361454
63,0.753891683714174
64,0.7411644183025959
65,0.7242641352714415
66,0.7008789878568554
67,0.6665102309487833
68,0.6113092315780907
